ENCFF349RNE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR812FNU	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF419RSJ, ENCFF482LGP, ENCFF822XRK, ENCFF941YYK	986194	ENCODE Processing Pipeline	0e4bdf0d5f892839ecb7e9c9cf29eb80		https://www.encodeproject.org/files/ENCFF349RNE/@@download/ENCFF349RNE.bed.gz	GRCh38				released	s3://encode-public/2017/01/13/ed718b58-b67c-4828-90b5-6309a1edd3ca/ENCFF349RNE.bed.gz				
ENCFF236RJT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF141XWJ, ENCFF308HRH, ENCFF419RSJ, ENCFF913TNP	1176060	ENCODE Processing Pipeline	2c551612f5d0eaf860565fdd7f6d92e0		https://www.encodeproject.org/files/ENCFF236RJT/@@download/ENCFF236RJT.bed.gz	GRCh38				released	s3://encode-public/2017/01/09/7e147b20-98ed-4950-8db2-b8e1500f9670/ENCFF236RJT.bed.gz				
ENCFF060WTK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR036EGV	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day							CTCF-human	DNA				formaldehyde	False	2017-10-10	GGR				1, 2							ENCFF232YWT, ENCFF419RSJ, ENCFF509HVO, ENCFF691KZX	1068585	ENCODE Processing Pipeline	0d4067d1113ac30a83c0f0b0ae5af691		https://www.encodeproject.org/files/ENCFF060WTK/@@download/ENCFF060WTK.bed.gz	GRCh38				released	s3://encode-public/2017/01/09/aaa16787-1db1-42a8-b0be-9626c533eb88/ENCFF060WTK.bed.gz				
ENCFF846CJQ	bed narrowPeak	peaks	ENCSR384KPP	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	2 hour							CTCF-human	DNA				formaldehyde	False	2016-12-20	GGR				1	1						ENCFF631DES, ENCFF823GRU	471740	Tim Reddy, Duke	03889b7c599ac7b8aeb0c8872c55e858		https://www.encodeproject.org/files/ENCFF846CJQ/@@download/ENCFF846CJQ.bed.gz	GRCh38				released	s3://encode-public/2016/12/15/4bd6eea6-ade4-41a3-bcba-4952a53ca6f4/ENCFF846CJQ.bed.gz				
ENCFF474KCW	bed narrowPeak	peaks	ENCSR384KPP	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	2 hour							CTCF-human	DNA				formaldehyde	False	2016-12-20	GGR				2	1						ENCFF127HJL, ENCFF171YYX	643717	Tim Reddy, Duke	23a3c251ae8627d14a5e1bcab074f2a8		https://www.encodeproject.org/files/ENCFF474KCW/@@download/ENCFF474KCW.bed.gz	GRCh38				released	s3://encode-public/2016/12/15/03816d8e-8a61-4b4e-a222-9c4208f7e2ce/ENCFF474KCW.bed.gz				
ENCFF204VDS	bed narrowPeak	peaks	ENCSR384KPP	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	2 hour							CTCF-human	DNA				formaldehyde	False	2016-12-20	GGR				3	1						ENCFF069WEP, ENCFF298EPS	672046	Tim Reddy, Duke	e4628526d363237109d7b2d00fae2328		https://www.encodeproject.org/files/ENCFF204VDS/@@download/ENCFF204VDS.bed.gz	GRCh38				released	s3://encode-public/2016/12/15/444dfe75-ef7a-4c0a-92a9-84daa649dc13/ENCFF204VDS.bed.gz				
ENCFF682EOV	bed narrowPeak	peaks	ENCSR432AXE	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour							CTCF-human	DNA				formaldehyde	False	2016-12-20	GGR				1	1						ENCFF843LAV, ENCFF917UEY	699159	Tim Reddy, Duke	9892898949a8d8d867c791bf3b1e8196		https://www.encodeproject.org/files/ENCFF682EOV/@@download/ENCFF682EOV.bed.gz	GRCh38				released	s3://encode-public/2017/10/20/14435e7e-a2ab-4b06-bf66-2270a1c4abf8/ENCFF682EOV.bed.gz				
ENCFF905RXY	bed narrowPeak	peaks	ENCSR432AXE	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour							CTCF-human	DNA				formaldehyde	False	2016-12-20	GGR				3	1						ENCFF676EAJ, ENCFF752JUA	731741	Tim Reddy, Duke	a156dab84e62d5d2439cd8ac3e5e2d70		https://www.encodeproject.org/files/ENCFF905RXY/@@download/ENCFF905RXY.bed.gz	GRCh38				released	s3://encode-public/2017/10/20/0e01c0f4-0946-485d-87a9-7cf8efd9f5fc/ENCFF905RXY.bed.gz				
ENCFF395WBK	bed narrowPeak	peaks	ENCSR432AXE	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour							CTCF-human	DNA				formaldehyde	False	2016-12-20	GGR				2	1						ENCFF478XRY, ENCFF865ZMH	500791	Tim Reddy, Duke	0778ffe369b67f9bea7ef97a461917a5		https://www.encodeproject.org/files/ENCFF395WBK/@@download/ENCFF395WBK.bed.gz	GRCh38				released	s3://encode-public/2017/10/20/5e7677cf-1ef3-4fb7-8450-50540ac4c300/ENCFF395WBK.bed.gz				
ENCFF472VHO	bed narrowPeak	peaks	ENCSR660RYY	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour							NR3C1-human	DNA				formaldehyde	False	2016-07-21	GGR				3	1						ENCFF450WID, ENCFF971LXG	68263	Tim Reddy, Duke	6f504ba33b933a6434a0d2f6c4728e84		https://www.encodeproject.org/files/ENCFF472VHO/@@download/ENCFF472VHO.bed.gz	GRCh38				released	s3://encode-public/2016/05/31/56c8355c-394f-4d8e-9d25-e3b58ca0f04d/ENCFF472VHO.bed.gz				
