ENCFF259LNG	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DZW	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RFX5-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF016AAA, ENCFF327IRT, ENCFF419RSJ, ENCFF645NWZ	115412	ENCODE Processing Pipeline	65d56d051c1b7ba9e9fa799a84f2de86		https://www.encodeproject.org/files/ENCFF259LNG/@@download/ENCFF259LNG.bed.gz	GRCh38				released	s3://encode-public/2017/07/20/acd07f2a-dc5b-4956-8a0e-4c0e8b5bc5ab/ENCFF259LNG.bed.gz				
ENCFF658XME	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DMM	ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										MYC-human	DNA					False	2012-08-27	ENCODE				1, 2							ENCFF419RSJ, ENCFF641FUH, ENCFF842GBC, ENCFF874WVN	475191	ENCODE Processing Pipeline	07e68f07307f97f9d5da739e6f61739c		https://www.encodeproject.org/files/ENCFF658XME/@@download/ENCFF658XME.bed.gz	GRCh38				released	s3://encode-public/2016/12/16/20855ca0-cb2f-4e6c-967e-3b212e9bae84/ENCFF658XME.bed.gz				
ENCFF677QUK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BRI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RUNX3-human	DNA					False	2012-02-29	ENCODE				1, 2							ENCFF162QGZ, ENCFF309SPQ, ENCFF369MFU, ENCFF419RSJ	1217020	ENCODE Processing Pipeline	7f24bbb13e0a76433ca8fb20b323147e		https://www.encodeproject.org/files/ENCFF677QUK/@@download/ENCFF677QUK.bed.gz	GRCh38				released	s3://encode-public/2016/12/16/a755e174-da3b-4258-9bee-d1a2d1935353/ENCFF677QUK.bed.gz				
ENCFF752KNU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR731LHZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										E4F1-human	DNA					False	2018-01-26	ENCODE				1, 2							ENCFF284HJU, ENCFF419RSJ, ENCFF506JUK, ENCFF631LDS	512900	ENCODE Processing Pipeline	c83d74e0214a815c337cb5a61b85bcd1		https://www.encodeproject.org/files/ENCFF752KNU/@@download/ENCFF752KNU.bed.gz	GRCh38				released	s3://encode-public/2016/10/24/03f53c0e-5c94-41a9-a30f-7b531c5225ff/ENCFF752KNU.bed.gz				
ENCFF723LVE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DKN	ChIP-seq	EFO:0002782	H54	cell line	Homo sapiens										CTCF-human	DNA					False	2011-03-17	ENCODE				1, 2							ENCFF392ZGT, ENCFF419RSJ, ENCFF508GOX, ENCFF934FNQ	836420	ENCODE Processing Pipeline	5ba0c58915ab24a504ada79825eaeb85		https://www.encodeproject.org/files/ENCFF723LVE/@@download/ENCFF723LVE.bed.gz	GRCh38				released	s3://encode-public/2016/12/16/91410c31-5ef7-4b86-93eb-b27f031adcf8/ENCFF723LVE.bed.gz				
ENCFF394CEC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EFS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										JUN-human	DNA					False	2012-08-20	ENCODE				1, 2							ENCFF283XPJ, ENCFF419RSJ, ENCFF543MHK, ENCFF893YYD	386163	ENCODE Processing Pipeline	a4d1eaceaadf0a4371abbf9afa089c69		https://www.encodeproject.org/files/ENCFF394CEC/@@download/ENCFF394CEC.bed.gz	GRCh38				released	s3://encode-public/2016/12/16/853815d2-9f5e-4eaa-bc45-d750631f1f48/ENCFF394CEC.bed.gz				
ENCFF144TBQ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EDN	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens										MAZ-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF038GKY, ENCFF419RSJ, ENCFF552RBE, ENCFF919FAB	286036	ENCODE Processing Pipeline	842fb344042cc0ae4262d3132579e5bb		https://www.encodeproject.org/files/ENCFF144TBQ/@@download/ENCFF144TBQ.bed.gz	GRCh38				released	s3://encode-public/2016/12/14/919033e0-ea4c-4ed3-ac5b-d834fb116a3f/ENCFF144TBQ.bed.gz				
ENCFF904QAD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR362NWP	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF24-human	DNA					False	2017-06-26	ENCODE				1, 2							ENCFF120BBW, ENCFF124RYN, ENCFF397IOO, ENCFF419RSJ	143812	ENCODE Processing Pipeline	fb139e93a408b562d675aa74912d9985		https://www.encodeproject.org/files/ENCFF904QAD/@@download/ENCFF904QAD.bed.gz	GRCh38				released	s3://encode-public/2017/06/24/c4f0a4ba-d46d-4b6b-b94b-9a58511c4b84/ENCFF904QAD.bed.gz				
ENCFF414EYO	bed narrowPeak	optimal IDR thresholded peaks	ENCSR761LRR	ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										ZNF512B-human	DNA					False	2017-09-28	ENCODE				1, 2							ENCFF106REB, ENCFF419RSJ, ENCFF514FLJ, ENCFF873FBE	131051	ENCODE Processing Pipeline	4c22d38ac3d8f9f59eae6eb9056eae86		https://www.encodeproject.org/files/ENCFF414EYO/@@download/ENCFF414EYO.bed.gz	GRCh38				released	s3://encode-public/2017/04/20/383f17ab-5a3c-4594-b7aa-a3c2ff49f6d2/ENCFF414EYO.bed.gz				
ENCFF370YGS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EHA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TBP-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF234DFK, ENCFF307DMW, ENCFF419RSJ, ENCFF877AND	404676	ENCODE Processing Pipeline	b1e02cad87c932f2787e21483038a402		https://www.encodeproject.org/files/ENCFF370YGS/@@download/ENCFF370YGS.bed.gz	GRCh38				released	s3://encode-public/2017/07/14/d6ee1dbe-238c-4211-89fd-01dd0802f2a7/ENCFF370YGS.bed.gz				
ENCFF757OML	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EFY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ARID3A-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF419RSJ, ENCFF478PFP, ENCFF952GND, ENCFF954ZUM	202727	ENCODE Processing Pipeline	1470b97c347d6d31e38f0fb7655aa78f		https://www.encodeproject.org/files/ENCFF757OML/@@download/ENCFF757OML.bed.gz	GRCh38				released	s3://encode-public/2016/12/16/c2390136-01e1-4870-8169-6d8a7fbf42bd/ENCFF757OML.bed.gz				
ENCFF685HMV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DMS	ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens	17β-estradiol	100 nM	45 minute							CTCF-human	DNA					False	2011-03-17	ENCODE				1, 2							ENCFF089NPT, ENCFF419RSJ, ENCFF601KOW, ENCFF608TPR	1074581	ENCODE Processing Pipeline	81da51044631615dda94f0189299ce39		https://www.encodeproject.org/files/ENCFF685HMV/@@download/ENCFF685HMV.bed.gz	GRCh38				released	s3://encode-public/2017/04/11/e57122c2-eb60-4869-8b31-8e1b5aef2417/ENCFF685HMV.bed.gz				
