Target_ID	lola-PT_SOLEXA_FBgn0005630	lola-PU_SOLEXA_FBgn0005630	lola-PT_SANGER_5_FBgn0005630	lola-PU_SANGER_5_FBgn0005630	M06101_2.00	lola-PG_SOLEXA_FBgn0005630	M06102_2.00	M06106_2.00	lola_SOLEXA_5_FBgn0005630	lola-PF_SOLEXA_FBgn0005630	lola-PG_SANGER_2.5_FBgn0005630	M06095_2.00	M06105_2.00	lola_SANGER_5_FBgn0005630	lola-PQ_SOLEXA_FBgn0005630	lola-PF_SANGER_5_FBgn0005630	lola-PY_SOLEXA_FBgn0005630	M06094_2.00	lola-PD_SOLEXA_FBgn0005630	lola-PA_SANGER_5_FBgn0005630	lola-PJ_SOLEXA_FBgn0005630	M06091_2.00	lola-PA_SOLEXA_FBgn0005630	lola-PO_SOLEXA_FBgn0005630	lola-PY_SANGER_2.5_FBgn0005630	lola-PL_SOLEXA_FBgn0005630	lola-PO_SANGER_5_FBgn0005630	M06099_2.00	lola-PQ_SANGER_5_FBgn0005630	M06104_2.00	M06100_2.00	lola_PK_SANGER_5_FBgn0005630	lola-PD_SANGER_5_FBgn0005630	M06093_2.00	lola-PK_SOLEXA_FBgn0005630	lola-PL_SANGER_2.5_FBgn0005630	M06097_2.00	M06098_2.00	lola-PC_SANGER_5_FBgn0005630	lola-PJ_SANGER_5_FBgn0005630	M06092_2.00	M06096_2.00	lola-PC_SOLEXA_FBgn0005630	lola-PW_SOLEXA_FBgn0005630	lola-PW_SANGER_5_FBgn0005630	M06103_2.00	Average
lola-PT_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	0.0792993072208097	0.9954969415494918	0.13377040070886992	0.10541994165708807	0.46998450531184666	0.13064211402678216	0.14797998807676058	0.08368886734895767	0.06133510846264909	0.45763233268972126	0.10832878689802206	0.23018830354452688	0.13102624559629647	0.31821962465767806	0.0028458504288442744	0.28433727993420227	0.008199860947887334	0.044690958146132165	0.12497707739338064	0.010479083438494487	0.14948411927607747	0.1535705436144324	0.1535705436144324	0.09814504457229128	0.020661325739161712	0.10788981332150098	0.034588250263274854	0.038118575589673125	0.04806569820233426	0.0751200561293325	0.06705665613848993	0.048695738712258935	0.07977818373986474	0.006648939468079892	0.07667770376359898	0.012839994553269153	0.0860813214099649	0.11349610458444892	0.22079347077327613	0.02651255410006766	0.038713225107593396	0.2301097921893884
lola-PU_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	0.07324649938560268	1.0	0.08977882916382048	0.07641677267097957	0.3177994826295555	0.13962972630182782	0.15708053090778012	0.0920765004500837	0.07799241133056385	0.25296039802647696	0.1117903879306634	0.14344020705728225	0.12957563381681364	0.1569227112877576	0.005998386556167146	0.12784797043717624	0.014010135049936616	0.040234254784406294	0.14079634283423717	0.0075376167495573845	0.16494570052573557	0.16279138795803058	0.16870831552932503	0.0944274451868295	0.012475445347609913	0.09917014434678874	0.04365403564031354	0.05253452811901532	0.060050384659671746	0.08168581598549761	0.04895307087571774	0.06133711370658384	0.0659852449612633	0.008784413063748801	0.07131453689369331	0.022437457142284834	0.08491595717257476	0.10919423611832076	0.24873807598086778	0.03380267533766769	0.04724227193031859	0.2151800663880989
lola-PT_SANGER_5_FBgn0005630	1.0	1.0	1.0	0.8323673847851752	1.0	0.12334366225735122	0.7534165031899931	0.1715753730213172	0.1954352465886097	0.1338470608434072	0.27184760547636133	0.25060042200560106	0.17701498956251915	0.19193212488298136	0.07266361493965622	0.12988589014129073	0.06637159389936419	0.12471789025052502	0.028479004418402985	0.013330631002755597	0.08596238009077396	0.016202250141054995	0.01396047904177848	0.16236497062839977	0.014318183916794859	0.01927794564300356	0.2144840189095044	0.2113047968034004	0.06129151172863569	0.01712291570125329	0.06323661658400873	0.013520074031701065	0.08889133530445258	0.0866405285708586	0.02253172603915597	0.09120251432685032	0.013520074031701065	0.10050937892632728	0.028645169113772385	0.09856637757604628	0.03711474843941822	0.10351035951890464	0.018192485370331357	0.13250315133123927	0.033799986043305336	0.03234418079247681	0.20256189469283625
lola-PU_SANGER_5_FBgn0005630	1.0	1.0	1.0	1.0	0.9041983886911034	0.0774583950289499	1.0	0.10594240381282552	0.10851702774794343	0.14494153000634027	0.16784336394455934	0.16784336394455934	0.10235461880482571	0.09981494553153393	0.11115801600072768	0.109457942933724	0.13045630010314807	0.11470821025907127	0.06098426863471642	0.002142796648409225	0.1220438917332023	0.003388637704952853	0.012180509706543665	0.1220438917332023	0.0213088232162142	0.04215053096317805	0.1723104355790564	0.16923137912545722	0.05808439333411113	0.023759015920692992	0.060080131607126115	0.02525922218486362	0.1500214816769163	0.14420248597961347	0.052515322530189326	0.09103378777426446	0.030758562566926374	0.09589804792842696	0.01219960436997462	0.1320177199481474	0.017928454897077933	0.1263919828458068	0.023978167387883602	0.11737635043632981	0.0127599303705838	0.017670162608844794	0.20140031513526138
M06101_2.00	0.9239619937952877	0.9728291755517035	1.0	0.7777613383300047	1.0	0.12233041181954268	0.9199861892436201	0.19276925917808585	0.16836040276182218	0.11198954236469803	0.2699654206501404	0.2735807765664119	0.19144308889475745	0.1640598622919407	0.06499309671179955	0.11074198446006293	0.08480518810008088	0.15084613533213292	0.03425637910268416	0.011124983181181733	0.0713463583819992	0.017817481637995496	0.020896198027105076	0.16293413581057675	0.01215248258057481	0.015060346645835849	0.19270183073724542	0.22850928936256526	0.048212289764320945	0.021947803807135183	0.07590964173391795	0.016823488735161384	0.08708106794926612	0.10363696450329424	0.014922310032350491	0.0781196434236286	0.01585572135951164	0.10609417019834032	0.01970955905213985	0.07106317148096249	0.039814183355274674	0.10657320192271331	0.013158557152429097	0.10577001587462821	0.02352495639318231	0.04076592295341128	0.20122187002633743
lola-PG_SOLEXA_FBgn0005630	0.18129375372125733	0.08118185415298519	0.10283257806547291	0.06149926880016712	0.11045187770428672	1.0	0.06149926880016712	1.0	1.0	0.11494709979479903	0.6173189113572207	0.5795304116154028	0.8711771053110843	0.8867729774939588	0.10259790131353345	0.09281662083951704	0.14122317309359123	0.1047318275292509	0.11494709979479903	0.19246177659337668	0.10259790131353345	0.1828269508493119	0.2615860730209507	0.06297810638837757	0.04842367316042618	0.025400850537989947	0.013320567115925582	0.016136061451549333	0.05201083246675198	0.05954330560667711	0.0654964589370172	0.07997391037531788	0.001546999695617125	0.001546999695617125	0.08660600198641943	0.005572877362486308	0.0934455369970087	0.007163894393212845	0.10631690388735598	0.054428099973379974	0.12691807462814952	0.07105485774534846	0.18982282772139933	0.012910394016539043	0.0019887352264011267	0.003154190250146695	0.19891423023442997
M06102_2.00	1.0	1.0	0.874948135100954	1.0	1.0	0.06527965459633357	1.0	0.10786988826156792	0.08532564098887147	0.13238169614066186	0.1657085383911489	0.1720674726772856	0.1019310855662404	0.07737458710154332	0.09686638657233754	0.08845227940757848	0.16256355175924217	0.12491583803688333	0.055498223556064485	0.001546999695617125	0.11821279657193128	0.005788475749619602	0.02152698500045313	0.11545404350917732	0.01817562284864844	0.03272308108556547	0.1484215877632614	0.18886894180625166	0.04216405051988841	0.031011614498296168	0.07380898452140137	0.020564655516172432	0.1440238238942946	0.168073776253485	0.045729256018490046	0.07159357486555368	0.04396100212898763	0.10786988826156792	0.009931815040622361	0.09425669227322027	0.02285947224850439	0.14109998729468123	0.015215175146543193	0.09088484517558978	0.010412152333022376	0.01686290124672419	0.1980918517266149
M06106_2.00	0.2376859266457818	0.13029885758942128	0.14529134544671193	0.08815289799237548	0.17065805469002443	1.0	0.09717629252199568	1.0	1.0	0.1634580948795553	0.5521703448360129	0.6098935238359795	1.0	0.7633728323390497	0.026149395021134832	0.14213896104159213	0.0798185208248465	0.16953607390577138	0.13844842831108595	0.1735136666433334	0.020312076904849267	0.2108871138233668	0.10759240932251045	0.037203357873768834	0.04203054992161222	0.003909747097381919	0.015754495659742657	0.02949000121767244	0.04871706081261566	0.05399651583742912	0.06721397857820753	0.061400314773566736	0.001546999695617125	0.001546999695617125	0.04067467590713225	0.01286369085462996	0.06523152724118945	0.015460000270397827	0.1314509304152468	0.032829256781281214	0.17810812444701657	0.058495138235796315	0.1113278315066022	0.006514649589119962	0.007281594454027322	0.008543695203131058	0.19691621636183043
lola_SOLEXA_5_FBgn0005630	0.23053950851736701	0.14265931522613182	0.17125810160829208	0.0950409847940068	0.15736719995142676	0.9917752662185263	0.08629490309518535	1.0	1.0	0.18185158716553793	0.5925760059431325	0.5400681131445622	0.8191098406505435	0.9023199490261671	0.02585647790502229	0.1652305652953622	0.06990052639795045	0.1544031990739338	0.12472646057625413	0.19141553180758	0.027104836217545333	0.17658023856348465	0.09572013307139393	0.029682223417320644	0.04614660809633639	0.003626553575957883	0.02783160411078581	0.031814090393166274	0.04614660809633639	0.04289923947870589	0.049519894888884176	0.049740800097425465	0.001546999695617125	0.001546999695617125	0.049740800097425465	0.012875758184861752	0.05492374413480053	0.013693600984126714	0.15685013971603895	0.04644183392523525	0.16780640425128748	0.055352445240778314	0.12828294732785683	0.009509499130504239	0.007333033766831776	0.005657321811390111	0.1952340846601454
lola-PF_SOLEXA_FBgn0005630	0.4917562473965356	0.3441100213644248	0.13133937245562127	0.12697309955108865	0.1392916183590839	0.09268202366264365	0.14517171964335462	0.14784286581081585	0.13988219146223024	1.0	0.1496394620742784	0.15246021364652185	0.11212418111722043	0.10213208683936871	0.321730274093792	1.0	0.4676429926269166	1.0	0.41748718509223826	0.13581143209255023	0.1822773272672212	0.13041063626619048	0.1850007675605716	0.02432403468271844	0.12697309955108865	0.17874258046742192	0.006577184693893958	0.012710340870152983	0.1899456590952293	0.12697309955108865	0.1899456590952293	0.07997552882372487	0.044397612104976926	0.0564981362803708	0.07793280547138202	0.08890727110565086	0.08623401963187965	0.11452937668976623	0.0381146727435974	0.005764163013692095	0.04941580165707777	0.010148493683999062	0.04055308324128114	0.14541859508914987	0.061867951652287624	0.06592891915734368	0.19429660449425382
